Branch,Seats Per Year,Description
AMZ,20,Applied Mechanics
BEZ,15,Biochemical Engineering and Biotechnology
CHZ,25,Chemical Engineering
CYZ,30,Chemistry
CEZ,35,Civil Engineering
CSZ,35,Computer Science and Engineering
DDZ,15,Department of Design
EEZ,45,Electrical Engineering
ESZ,20,Energy Science and Engineering
HSZ,20,Humanities and Social Sciences
MSZ,20,Management Studies
MLZ,20,Materials Science and Engineering
MTZ,20,Mathematics
MEZ,40,Mechanical Engineering
PHZ,30,Physics
TXZ,20,Textile and Fibre Engineering
CRZ,15,Centre for Applied Research in Electronics
ASZ,15,Centre for Atmospheric Sciences
CTZ,15,Centre for Automotive Research and Tribology
BMZ,15,Centre for Biomedical Engineering
OPZ,10,Centre for Optics and Photonics
RDZ,15,Centre for Rural Development and Technology
IDZ,15,"Centre for Sensors, Instrumentation and Cyber-Physical Systems Engineering"
AIZ,25,Yardi School of Artificial Intelligence
SBZ,15,School of Biological Sciences
SIZ,15,Amar Nath and Shashi Khosla School of Information Technology
SRZ,15,School of Interdisciplinary Research
PPZ,10,School of Public Policy
BSZ,15,Bharti School of Telecommunication Technology and Management
VEZ,5,National Resource Centre for Value Education in Engineering
